observation_id,prediction,base_value,feature,feature_value,shap_value
2024_poorest_40,41.38479521250743,36.698230533636114,is_poorest_40,1.0,-8.940922013861584
2024_poorest_40,41.38479521250743,36.698230533636114,is_richest_60,0.0,-0.3541579319131769
2024_poorest_40,41.38479521250743,36.698230533636114,is_young_adult,0.0,1.103455304766297
2024_poorest_40,41.38479521250743,36.698230533636114,is_older_adult,0.0,-0.20273623966544752
2024_poorest_40,41.38479521250743,36.698230533636114,is_primary_education,0.0,0.7467543019844043
2024_poorest_40,41.38479521250743,36.698230533636114,is_secondary_education,0.0,-2.4338439570538473
2024_primary_education_or_less,44.72254376024207,36.698230533636114,trend_years,13.0,14.056917543574363
2024_primary_education_or_less,44.72254376024207,36.698230533636114,is_female,0.0,0.7110976710403054
2024_primary_education_or_less,44.72254376024207,36.698230533636114,is_poorest_40,0.0,1.1176152517326978
2024_primary_education_or_less,44.72254376024207,36.698230533636114,is_richest_60,0.0,-0.3541579319131769
2024_primary_education_or_less,44.72254376024207,36.698230533636114,is_young_adult,0.0,1.103455304766297
2024_primary_education_or_less,44.72254376024207,36.698230533636114,is_older_adult,0.0,-0.20273623966544752
2024_primary_education_or_less,44.72254376024207,36.698230533636114,is_primary_education,1.0,-5.974034415875235
2024_primary_education_or_less,44.72254376024207,36.698230533636114,is_secondary_education,0.0,-2.4338439570538473
2024_richest_60,54.6307538653203,36.698230533636114,trend_years,13.0,14.056917543574363
2024_richest_60,54.6307538653203,36.698230533636114,is_female,0.0,0.7110976710403054
2024_richest_60,54.6307538653203,36.698230533636114,is_poorest_40,0.0,1.1176152517326978
2024_richest_60,54.6307538653203,36.698230533636114,is_richest_60,1.0,2.8332634553054157
2024_richest_60,54.6307538653203,36.698230533636114,is_young_adult,0.0,1.103455304766297
2024_richest_60,54.6307538653203,36.698230533636114,is_older_adult,0.0,-0.20273623966544752
2024_richest_60,54.6307538653203,36.698230533636114,is_primary_education,0.0,0.7467543019844043
2024_richest_60,54.6307538653203,36.698230533636114,is_secondary_education,0.0,-2.4338439570538473
2024_secondary_education_or_more,73.34792809158634,36.698230533636114,trend_years,13.0,14.056917543574363
